English,Khmer
She usually goes to the gym after work.,ជាធម្មតានាងទៅកន្លែងហាត់ប្រាណបន្ទាប់ពីធ្វើការ។
We usually have dinner at 8 pm.,ជាធម្មតាយើងមានអាហារពេលល្ងាចនៅម៉ោង 8 យប់។
They often eat out on the weekends.,ពួកគេតែងតែញ៉ាំអាហារក្រៅថ្ងៃចុងសប្តាហ៍។
I usually wake up at 6 am.,ជាធម្មតាខ្ញុំភ្ញាក់ពីគេងនៅម៉ោង 6 ព្រឹក។
He always takes the bus to work.,គាត់តែងតែជិះឡានក្រុងទៅធ្វើការ។
I love you in every universes, បងស្រឡាញ់អូនគ្រប់ចក្រវាលទាំងអស់
paparazzi, អ្នកលួចថតរូប
aroma, ក្លិនក្រអូប
odor, ក្លិនស្អុយ
rule, ច្បាប់
cat, សត្វឆ្មា
dog, សត្វឆ្កែ
pig, សត្វជ្រូក
teacher, គ្រូបង្រៀន
student, សិស្ស
car, រថយន្ដ
person, មនុស្ស
phone, ទូរស័ព្ទ
computer, កុំព្យូទ័រ
laptop, កុំព្យូទ័រយួកដៃ
hi, សួរស្ដី
hello, សួរស្ដី
good, ល្អ
great, ល្អ
power, ថាមពល
amazing, អស្ចារ្យ
time, ពេលវេលា
mother, ម្ដាយ
father, ឪពុក
mom, ម៉ាក់
dad, ប៉ា
love, ស្រឡាញ់
like, ចូលចិត្ត
live, រស់នៅ
life, ជីវិត
god, ព្រះ
angle, ទេវត្ដា
make, ធ្វើ
made, ធ្វើ
get, ទទួល
picture, រូបភាព
beer, ស្រាបៀ
shop, ហាង
out, ចេញ
join, ចូលរួម
late, យឺត
got, ទទួល
up, ឡើង
download, ទាយយក
update, ធ្វើឲ្យបច្ចុប្យន្នភាព
write, សរសេរ
wrote, សរសេរ
answer, ឆ្លើយ
miss, នឹក
party, ជប់លៀង
message, ផ្ញើរសារ
box, ប្រអប់
question, សំណួរ
ball, បាល់
keep, រក្សា
save, រក្សាទុក
lose, បាត់បង់
win, ឈ្នះ
won, ឈ្នះ
